"","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","S13","S14","S15","S16","S17","S18","S19","S20","S21","S22","S23","S24","S25","S26"
"0.4",387993088.907904,1299834402.31388,1113924058.26051,256335472.501534,714201829.494513,520217877.590534,1063727558.58144,199944860.562429,165060781.588145,173250576.399068,34950741.5675215,414284632.945293,103718669.834671,711287244.75545,504938108.1354,140930834.161576,84303051.2923274,276390298.065492,357508359.905672,579028206.712859,310869704.276898,313464653.584858,388909905.236122,543295072.030282,174545704.465477,37856574.2323801
"0.45",393466245.227191,1325529522.55027,1124358425.22957,329797087.333521,722823679.741768,528348548.275689,1123587602.367,204400097.931294,169822045.54674,181572705.549066,36454919.7083947,420311256.060888,106793646.877479,717304880.654198,516282911.431406,143686455.23365,88953037.8806261,294331595.845926,363941356.148727,586072038.23655,326085822.348199,318242927.374801,399743628.322782,595048429.164686,178691093.323773,40350215.7952202
"0.5",399015625.485453,1350350273.76783,1134366983.60605,405280192.179759,731238456.086652,536823179.092942,1183465651.26591,208992128.840899,174373703.828654,190248559.120122,37988603.3855926,425919468.038526,109846289.48198,723710830.529468,526916700.879864,146312790.196567,93626644.4840293,312119574.865837,370615497.200496,593668257.881366,341055216.100366,322910911.924304,411147468.366351,647118170.341261,182803639.112274,42905769.8392073
"0.55",404451126.611651,1376266975.48806,1144569188.83066,482668777.146142,740093779.946915,545628002.928806,1253079288.83836,213595641.483915,178996633.82552,198857716.709484,39571356.5759455,431681010.883025,112967123.058533,730118282.147224,538619379.827459,149106846.187406,98469213.9253817,330933470.381158,377387996.036873,601203520.023104,357521194.59083,327473309.24585,422657028.756362,701226920.427655,186922466.550643,45521914.8375761
"0.6",410142859.061002,1400767448.95768,1154754856.63873,570049974.972848,749809389.299473,554889762.488984,1329260554.18872,218248407.625607,183989765.052921,207883622.411221,41160485.8504188,437895616.222408,116247402.945081,736733747.430917,549494773.554106,151912210.865061,103673168.646956,350143454.278255,384663270.819981,608760217.779421,375672079.714691,332454161.426228,434920542.28908,757115180.610149,190843661.381059,48218911.93142
"0.65",416269879.606584,1427158762.94794,1165649243.64172,672764462.300933,759044412.067883,564781754.284257,1420613370.95287,223589154.868999,188962278.196262,217766966.17096,42852557.0858629,443948082.885099,119668458.486617,743428335.472317,562394866.918717,155007718.569413,109336755.78111,372034138.270825,392091013.800793,616672247.040817,396329478.185409,337761378.950834,448436242.216032,817452437.758816,195087912.481132,51314919.3581561
"0.7",422708261.970837,1453239268.85614,1177247788.11643,798047846.230826,769255331.539242,575551183.487546,1529443667.14625,229379499.537822,194337773.482818,228348921.578435,44559022.5675278,450204031.941819,123528384.577793,750901785.490101,575225004.032841,158510546.930676,115435548.981108,397824210.379531,400147992.432672,625403895.696908,419334931.165265,343546662.980895,463973805.65493,884093624.15847,199850157.965221,54649357.1229116
"0.75",429797221.823796,1483698557.93881,1189858157.11688,952367495.359365,780633745.46351,586966272.679654,1658164331.50296,235550172.102823,200360211.100667,239492890.645862,46599441.1391066,457153947.721198,127809409.575174,759529454.757409,590170839.134957,162495460.095839,122361681.196927,428561053.231279,409129243.551288,634758722.566233,447063778.878173,350629083.56101,480843374.90579,961696098.138195,205181645.350154,58326784.1929063
"0.8",438038609.807632,1517932977.07465,1204356465.55199,1168324401.57907,793684040.346997,600356482.383631,1823173908.14724,242761391.540168,207279028.316506,253438201.533454,48803897.4497048,465348496.329641,132936611.055755,768591620.898389,608902068.863093,167097531.803859,130546616.508325,468541325.673077,420515413.440443,646325968.273595,483987683.746308,359214743.496593,501429147.668472,1063579630.26633,211515444.085148,62930579.7131521
"0.85",447953873.956267,1558851134.4863,1221852732.55425,1498260029.37657,809454877.996434,616800459.523139,2067992319.07576,252589125.437501,215708884.063085,269221762.077889,51445106.0014323,475487989.144437,139214506.622293,779636685.270617,631438430.826893,172960431.247662,140439693.534732,522728421.53762,435424404.119518,660514718.205023,534438132.869803,369926670.512048,527904131.013905,1204487084.50351,219460209.530351,68869723.3413804
"0.9",460573786.63339,1609037379.13184,1244650994.34749,2148293993.45136,831273587.015139,638664498.674098,2459262634.62789,265224307.176862,226920718.745091,290986613.560942,54932814.3227889,487765088.849348,148141135.954255,795108749.226967,664593688.38993,181230616.170903,154765951.036563,608442150.089719,455776906.554832,680446398.496114,613911797.111479,386612132.977319,568522239.160194,1442980166.01789,231018749.425525,77158889.2639083
"0.95",481271961.743221,1684761624.06992,1284264326.62339,3964702426.55244,866847418.139209,676617371.129891,3310213519.86324,287313447.481176,245839842.899695,327400352.522216,60109830.5972358,506972683.019038,166307036.688915,822345147.937994,713930282.742364,196551445.78942,177250474.528465,796042307.513614,491911550.44659,714134128.134911,793340005.985366,415663624.399754,641522244.399849,2021782080.07762,256293874.076331,93117202.3507876
